id,baseline_price,recommended_price,price_uplift,action,nearest_event,event_date,distance_to_event_km,event_category
161913,99.0,69.3,-29.700000000000003,DISCOUNT,Bluey's Big Play - The Stage Show,2026-06-24,1.4037203900802016,Arts & Theatre
164069,65.0,84.5,19.5,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,1.1451172710065207,Music
174808,95.0,70.95107604799873,-24.048923952001275,DISCOUNT,Washington Mystics vs. New York Liberty,2026-05-10,1.9699415518167127,Sports
175581,158.0,122.88097139244198,-35.11902860755802,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.5340208849796902,Sports
196429,120.0,84.0,-36.0,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,5.24073860214969,Sports
198685,60.0,70.57516670532449,10.575166705324492,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.3569394060428115,Sports
201116,81.0,75.09448171559474,-5.905518284405261,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,5.853301404267174,Sports
204741,38.0,49.4,11.399999999999999,RAISE,Washington Mystics vs. New York Liberty,2026-05-10,2.175128423206509,Sports
223203,81.0,61.98439326096547,-19.01560673903453,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,7.682397663918683,Sports
223922,132.0,92.39999999999999,-39.60000000000001,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,3.290409596526844,Sports
251611,81.0,77.53440043966677,-3.4655995603332315,HOLD,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,7.682397663918683,Sports
251619,81.0,61.98439326096547,-19.01560673903453,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,7.682397663918683,Sports
262629,55.0,38.5,-16.5,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,5.1619945852703735,Sports
274737,225.0,232.3309344339887,7.330934433988688,HOLD,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,0.3144563213733087,Sports
290001,190.0,133.0,-57.0,DISCOUNT,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.7084003488265345,Music
296196,129.0,131.21688450912484,2.2168845091248386,HOLD,Men At Work,2026-09-20,0.6831194920024858,Music
299030,80.0,72.62269542239754,-7.377304577602459,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,6.572132932707113,Sports
303723,115.0,145.8032721280435,30.80327212804349,RAISE,Men At Work,2026-09-20,0.2503783094037377,Music
313405,76.0,75.4371787089117,-0.5628212910882979,HOLD,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,6.400747979128526,Sports
339208,73.0,94.9,21.900000000000006,RAISE,Vans Warped Tour DC,2026-06-13,3.279553746556588,Music
355527,225.0,157.5,-67.5,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.9798194835232356,Sports
382111,136.0,120.19921129693043,-15.800788703069571,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.0157243254774675,Sports
409582,146.0,114.21984105624288,-31.780158943757115,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.2441356421096197,Sports
437005,345.0,241.49999999999997,-103.50000000000003,DISCOUNT,Washington Mystics vs. New York Liberty,2026-05-10,1.7869792393849648,Sports
453159,112.0,145.6,33.599999999999994,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.8049639839977097,Sports
453315,95.0,112.99953164720161,17.999531647201607,RAISE,Vans Warped Tour DC,2026-06-13,1.2647263414196726,Music
501809,62.0,80.60000000000001,18.60000000000001,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.269638920726418,Music
525672,125.0,131.3131263715072,6.313126371507195,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.2940423233467089,Sports
542144,124.0,111.81046541939729,-12.189534580602711,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.6071541865077068,Sports
