id,baseline_price,recommended_price,price_uplift,action,nearest_event,event_date,distance_to_event_km
437005,345.0,-30.122458987253495,-375.1224589872535,DISCOUNT,Washington Mystics vs. New York Liberty,2026-05-10,1.7869792393849648
453159,112.0,143.59807101963816,31.598071019638155,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.8049639839977097
453315,95.0,116.99134953721747,21.991349537217474,RAISE,Vans Warped Tour DC,2026-06-13,1.2647263414196726
501809,62.0,-18.619148991697386,-80.61914899169739,DISCOUNT,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.269638920726418
525672,125.0,98.8505172150157,-26.1494827849843,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.2940423233467089
542144,124.0,114.48830049067764,-9.511699509322355,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.6071541865077068
561697,93.0,142.94137863980478,49.94137863980478,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,1.1859919774670535
563607,88.0,191.79495627071955,103.79495627071955,RAISE,Men At Work,2026-09-20,0.8001813320345101
654835,139.0,-0.4500752779702619,-139.45007527797026,DISCOUNT,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,0.5604460962449633
688914,90.0,-130.8475974644157,-220.8475974644157,DISCOUNT,Washington Mystics vs. New York Liberty,2026-05-10,1.0507563086273244
722114,117.0,101.21444625201426,-15.785553747985745,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,0.6397095149161126
748316,125.0,90.79892705692886,-34.20107294307114,DISCOUNT,Vans Warped Tour DC,2026-06-13,1.4867193687854623
792578,400.0,162.66243755823297,-237.33756244176703,DISCOUNT,Vans Warped Tour DC,2026-06-13,2.0637337268196125
794213,160.0,209.04018025764273,49.04018025764273,RAISE,Men At Work,2026-09-20,1.358037225597748
800076,157.0,237.06452578408445,80.06452578408445,RAISE,Men At Work,2026-09-20,0.1424417041356105
808830,119.0,732.8423966608168,613.8423966608168,RAISE,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,0.6894944414133893
828497,165.0,-570.1970534326475,-735.1970534326475,DISCOUNT,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,3.171054058768525
841260,39.0,-39.18269543615011,-78.18269543615011,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.7028138497552654
860336,95.0,486.6400549374467,391.6400549374467,RAISE,Bluey's Big Play - The Stage Show,2026-06-24,0.9062218088340542
860776,35.0,22.08024051161464,-12.91975948838536,DISCOUNT,Zainab Johnson,2026-06-06,0.5964899627867177
861775,51.0,-148.71336179080112,-199.71336179080112,DISCOUNT,Washington Mystics vs. New York Liberty,2026-05-10,1.011309141717205
873182,109.0,102.31139993154171,-6.688600068458285,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,4.100152134784976
886283,83.0,122.68049643355047,39.68049643355047,RAISE,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,3.6095466595360697
887461,32.0,-39.18269543615011,-71.18269543615011,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.7754608228229318
888029,35.0,-39.18269543615011,-74.18269543615011,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.6372353240771458
902573,81.0,-2.981365716035434,-83.98136571603544,DISCOUNT,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.5319064127433474
914968,81.0,113.77869348658982,32.778693486589816,RAISE,Vans Warped Tour DC,2026-06-13,2.077888927444356
945426,83.0,184.69270094025987,101.69270094025987,RAISE,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,5.103240607915942
973608,30.0,-126.85121353905127,-156.8512135390513,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,0.600295113119805
997859,238.0,252.32511067669603,14.325110676696028,RAISE,Men At Work,2026-09-20,1.3329101817635978
1026034,136.0,135.00523176754686,-0.9947682324531399,HOLD,The James Hunter Six,2026-04-19,0.6680773443522053
1092713,112.0,134.66898052961764,22.66898052961764,RAISE,Bluey's Big Play - The Stage Show,2026-06-24,1.075465378603082
1245292,73.0,184.69270094025987,111.69270094025987,RAISE,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,5.698156179460876
1297417,176.0,182.08171354210262,6.081713542102619,HOLD,Men At Work,2026-09-20,0.470100509489795
1433344,336.0,174.52701217532706,-161.47298782467294,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.2484456939292526
1472332,65.0,-38.955806648940694,-103.9558066489407,DISCOUNT,Diplo,2026-05-22,3.585287548723658
1484387,106.0,-49.923605841306404,-155.9236058413064,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.1223330450704374
1520425,158.0,257.3558013270375,99.35580132703751,RAISE,Diplo,2026-05-22,2.0762077681259696
1537822,91.0,97.49265108717984,6.492651087179837,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.3680674428451898
1571112,145.0,182.08171354210262,37.08171354210262,RAISE,Men At Work,2026-09-20,1.0047871639040202
1628328,140.0,135.00523176754686,-4.99476823245314,HOLD,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.4345112531758625
