id,latitude,longitude,price,bedrooms,accommodates,room_type,neighbourhood_cleansed,review_scores_rating,minimum_nights,nearest_event,event_date,event_category,distance_to_event_km,temp_avg_c,precipitation_mm,is_outdoor_season,is_peak_summer
52092,38.9077,-77.02431,,2.0,4,Entire home/apt,"Shaw, Logan Circle",4.35,31,The James Hunter Six,2026-04-19,Music,0.7338743682673339,14.8,82.0,1.0,0.0
62122,38.92238,-77.04709,84.0,2.0,3,Entire home/apt,"Kalorama Heights, Adams Morgan, Lanier Heights",4.86,5,Men At Work,2026-09-20,Music,1.6607417972140757,22.1,90.0,1.0,0.0
67483,38.934628,-77.029839,77.0,1.0,3,Entire home/apt,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",4.52,31,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,1.6326027310696258,19.9,104.0,1.0,0.0
93551,38.91433,-77.01876,65.0,1.0,2,Private room,"Howard University, Le Droit Park, Cardozo/Shaw",4.75,31,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,Music,0.22962825385290744,14.8,82.0,1.0,0.0
116951,38.91436,-77.0181,58.0,1.0,2,Private room,"Howard University, Le Droit Park, Cardozo/Shaw",4.7,31,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,Music,0.2798751353826956,14.8,82.0,1.0,0.0
150109,38.91525,-77.04001,,1.0,2,Entire home/apt,"Dupont Circle, Connecticut Avenue/K Street",4.83,31,Men At Work,2026-09-20,Music,0.9827636272411989,22.1,90.0,1.0,0.0
153545,38.94286,-77.04417,48.0,1.0,1,Private room,"Brightwood Park, Crestwood, Petworth",4.67,30,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,3.1145753889633427,19.9,104.0,1.0,0.0
161913,38.91296,-77.04639,99.0,1.0,1,Private room,"Dupont Circle, Connecticut Avenue/K Street",4.6,31,Bluey's Big Play - The Stage Show,2026-06-24,Arts & Theatre,1.4037203900802016,24.5,91.0,1.0,0.0
164069,38.91366,-77.00803,65.0,1.0,2,Private room,"Edgewood, Bloomingdale, Truxton Circle, Eckington",4.89,1,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,Music,1.1451172710065207,14.8,82.0,1.0,0.0
174808,38.86432,-76.98749,95.0,1.0,2,Private room,Historic Anacostia,4.95,2,Washington Mystics vs. New York Liberty,2026-05-10,Sports,1.9699415518167132,19.9,104.0,1.0,0.0
175581,38.88022,-76.98677,158.0,1.0,2,Entire home/apt,"Capitol Hill, Lincoln Park",4.65,31,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,Sports,0.5340208849796902,27.1,94.0,1.0,1.0
175608,38.90756,-77.02212,,2.0,4,Entire home/apt,"Shaw, Logan Circle",4.3,31,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,Arts & Theatre,0.7870630524314353,15.7,82.0,1.0,0.0
178395,38.96165,-77.01858,257.0,1.0,1,Private room,"Takoma, Brightwood, Manor Park",,31,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,4.399466538758714,19.9,104.0,1.0,0.0
196429,38.96923,-77.02041,120.0,0.0,3,Entire home/apt,"Takoma, Brightwood, Manor Park",4.2,31,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,5.24073860214969,19.9,104.0,1.0,0.0
198685,38.93395,-77.01625,60.0,1.0,2,Private room,"Edgewood, Bloomingdale, Truxton Circle, Eckington",4.74,31,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,1.3569394060428115,19.9,104.0,1.0,0.0
201116,38.97474,-77.01997,81.0,1.0,2,Entire home/apt,"Takoma, Brightwood, Manor Park",4.48,28,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,5.853301404267174,19.9,104.0,1.0,0.0
204741,38.82768,-76.99624,38.0,1.0,2,Private room,"Congress Heights, Bellevue, Washington Highlands",4.59,31,Washington Mystics vs. New York Liberty,2026-05-10,Sports,2.175128423206509,19.9,104.0,1.0,0.0
223203,38.98853,-77.04441,81.0,1.0,2,Private room,"Colonial Village, Shepherd Park, North Portal Estates",4.8,2,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,7.682397663918683,19.9,104.0,1.0,0.0
223922,38.94482,-77.04437,132.0,1.0,3,Entire home/apt,"Brightwood Park, Crestwood, Petworth",4.77,1,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,3.290409596526844,19.9,104.0,1.0,0.0
251611,38.98853,-77.04441,81.0,1.0,3,Private room,"Colonial Village, Shepherd Park, North Portal Estates",5.0,2,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,7.682397663918683,19.9,104.0,1.0,0.0
251615,38.98853,-77.04441,,,2,Private room,"Colonial Village, Shepherd Park, North Portal Estates",4.83,2,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,7.682397663918683,19.9,104.0,1.0,0.0
251619,38.98853,-77.04441,81.0,1.0,2,Private room,"Colonial Village, Shepherd Park, North Portal Estates",4.67,2,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,7.682397663918683,19.9,104.0,1.0,0.0
262629,38.96691,-77.0044,55.0,1.0,1,Private room,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",4.88,90,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,5.1619945852703735,19.9,104.0,1.0,0.0
274737,38.91352,-77.0738,225.0,3.0,4,Entire home/apt,"Georgetown, Burleith/Hillandale",4.87,21,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,Sports,0.3144563213733087,9.7,85.0,0.0,0.0
290001,38.91001,-77.02563,190.0,1.0,2,Entire home/apt,"Shaw, Logan Circle",4.84,2,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,Music,0.7084003488265345,14.8,82.0,1.0,0.0
296196,38.9146,-77.03602,129.0,1.0,4,Entire home/apt,"Dupont Circle, Connecticut Avenue/K Street",4.91,3,Men At Work,2026-09-20,Music,0.6831194920024858,22.1,90.0,1.0,0.0
299030,38.9806,-77.03084,80.0,1.0,2,Private room,"Colonial Village, Shepherd Park, North Portal Estates",4.85,1,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,6.572132932707113,19.9,104.0,1.0,0.0
303723,38.91611,-77.02662,115.0,1.0,2,Entire home/apt,"Howard University, Le Droit Park, Cardozo/Shaw",4.8,2,Men At Work,2026-09-20,Music,0.2503783094037377,22.1,90.0,1.0,0.0
306465,38.91297,-77.0465,,2.0,4,Entire home/apt,"Dupont Circle, Connecticut Avenue/K Street",4.56,60,Bluey's Big Play - The Stage Show,2026-06-24,Arts & Theatre,1.4033167748386877,24.5,91.0,1.0,0.0
313405,38.9793,-77.0283,76.0,1.0,2,Private room,"Colonial Village, Shepherd Park, North Portal Estates",4.89,1,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,6.400747979128526,19.9,104.0,1.0,0.0
339208,38.89094,-76.93638,73.0,2.0,6,Entire home/apt,"Capitol View, Marshall Heights, Benning Heights",4.75,4,Vans Warped Tour DC,2026-06-13,Music,3.2795537465565876,24.5,91.0,1.0,0.0
355527,38.88408,-77.0035,225.0,1.0,3,Entire home/apt,"Capitol Hill, Lincoln Park",4.8,2,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,Sports,0.9798194835232356,27.1,94.0,1.0,1.0
382111,38.89099,-76.99458,136.0,1.0,3,Entire home/apt,"Capitol Hill, Lincoln Park",4.8,2,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,Sports,1.0157243254774675,27.1,94.0,1.0,1.0
409582,38.88306,-76.99497,146.0,0.0,2,Entire home/apt,"Capitol Hill, Lincoln Park",4.88,2,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,Sports,0.24413564210961974,27.1,94.0,1.0,1.0
437005,38.86256,-76.98689,345.0,1.0,2,Private room,Historic Anacostia,4.85,31,Washington Mystics vs. New York Liberty,2026-05-10,Sports,1.7869792393849648,19.9,104.0,1.0,0.0
446147,38.90549,-77.02847,,1.0,2,Entire home/apt,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,150,The James Hunter Six,2026-04-19,Music,0.29890662658185424,14.8,82.0,1.0,0.0
453159,38.87772,-76.985,112.0,2.0,5,Entire home/apt,"Capitol Hill, Lincoln Park",4.93,3,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,Sports,0.8049639839977097,27.1,94.0,1.0,1.0
453315,38.89538,-76.98648,95.0,1.0,2,Entire home/apt,"Union Station, Stanton Park, Kingman Park",4.88,2,Vans Warped Tour DC,2026-06-13,Music,1.2647263414196726,24.5,91.0,1.0,0.0
